run ID,timestamp,number of hidden layers,hidden layer size,LR,Epochs,Batch size3170.52100,04182025_131848,3,17,0.5,2,100
3170.52100,04182025_132008,3,17,0.5,2,100
1170.55100,04182025_133201,1,17,0.5,5,100
2170.55100,04182025_133245,2,17,0.5,5,100
3170.55100,04182025_133335,3,17,0.5,5,100
1170.55100,04182025_134040,1,17,0.5,5,100
3150.02550100,04182025_134930,3,15,0.025,50,100
3150.07550100,04182025_135740,3,15,0.075,50,100
3150.12550100,04182025_140549,3,15,0.125,50,100
3150.17550100,04182025_141359,3,15,0.175,50,100
3150.22550100,04182025_142207,3,15,0.225,50,100
3150.27550100,04182025_143017,3,15,0.275,50,100
3150.32550100,04182025_143825,3,15,0.325,50,100
3150.37550100,04182025_144634,3,15,0.375,50,100
3150.42550100,04182025_145500,3,15,0.425,50,100
3150.47550100,04182025_150321,3,15,0.475,50,100
3150.52550100,04182025_151126,3,15,0.525,50,100
3150.57550100,04182025_151931,3,15,0.575,50,100
3150.62550100,04182025_152736,3,15,0.625,50,100
3150.67550100,04182025_153542,3,15,0.675,50,100
3150.72550100,04182025_154347,3,15,0.725,50,100
3150.77550100,04182025_155152,3,15,0.775,50,100
3150.82550100,04182025_155957,3,15,0.825,50,100
3150.87550100,04182025_160803,3,15,0.875,50,100
3150.92550100,04182025_161608,3,15,0.925,50,100
3150.97550100,04182025_162413,3,15,0.975,50,100
3170.125100100,04222025_174129,3,17,0.125,100,100
1150.125100100,04232025_162347,1,15,0.125,100,100
1150.125100100,04232025_163554,1,15,0.125,100,100
1150.125100100,04232025_164803,1,15,0.125,100,100
2150.125100100,04232025_170200,2,15,0.125,100,100
2150.125100100,04232025_171549,2,15,0.125,100,100
2150.125100100,04232025_172937,2,15,0.125,100,100
3150.125100100,04232025_174521,3,15,0.125,100,100
3150.125100100,04232025_180109,3,15,0.125,100,100
3150.125100100,04232025_181700,3,15,0.125,100,100
2170.251010054.170528173446655,04242025_134229,2,17,0.25,10,100,54.170528173446655
2170.2520100105.2834084033966,04242025_135155,2,17,0.25,20,100,105.2834084033966
2170.25510028.734188079833984,04242025_135424,2,17,0.25,5,100,28.734188
2170.255100,04242025_135643,2,17,0.25,5,100,26.229599714279175
2170.255100,04242025_135910,2,17,0.25,5,100,26
